Publication Type,Authors,Book Authors,Book Editors,Author Full Names,Book Author Full Names,Article Title,Source Title,Book Series Title,Abstract,Publication Year,Volume,Issue,Start Page,End Page
J,"Salgueira, AP; Frada, T; Aguiar, P; Costa, MJ",,,"Salgueira, Ana Paula; Frada, Tiago; Aguiar, Pedro; Costa, Manuel Joao",,JEFFERSON SCALE OF PHYSICIAN LIFELONG LEARNING Translation and adaptation for the Portuguese Medical Population,ACTA MEDICA PORTUGUESA,,"The competence and professionalism of doctors depend on the process of Lifelong Learning (LLL). In the Portuguese settings, in which the re-certification of physicians' skills or knowledge is currently not required, the exercise of LLL is left to personal motivation and initiative. The importance of LLL has been highlighted in numerous international recommendations and has already led, in the United States, to the development and validation of a scale for measuring physician LLL - the Jefferson Scale of Physician Life Long Learning (JSPLL). The lack of valid instruments to measure LLL adapted to the Portuguese contexts was the basis for this work, which presents the translation and adaptation of JSPLL, and the subsequent validation of the translated version to the Portuguese medical community. The translation and validation of the English version of JSPLL (JSPLL-VP) was conducted with physicians of Health Care institutions in the District of Braga, Portugal, in 2007. Methods of both qualitative (translation, assessment of the translation, retro translation) and quantitative nature (internal consistency analysis, factor analysis and analysis of response frequencies) resulted in a factor analysis that replicated, with the exception of three items, the distribution of the original scale by four factors: professional learning beliefs and motivation, scholarly activities, attention to learning opportunities and technical skills in seeking information. The results show that the JSPLL-VP is a valid Scale fit for purpose. Cronbach's alpha coefficients for the whole scale (.89) and for each factor, confirmed the internal consistency of the Scale. Additionally, differences were found between mean and standard deviations for different Scale factors. In summary, this work provides a new validated tool to monitor physician's LLL in Portugal. The transversal characterization of LLL of specific medical professionals - by specialty or by type of institution - or longitudinal studies in relation with profiles of medical training can contribute to the quality of Medical Education at the pre- or post-graduate levels.",2009,22,3,247,256
J,"Norval, GW; Chan, AW",,,"Norval, Graeme W.; Chan, Ariel W.",,Gender Differentials on Academic Performance and Lifelong Learning Attribute in Chemical Engineering,JOURNAL OF CHEMICAL EDUCATION,,"The Chemical Engineering program at the University of Toronto has been in existence since 1904. In this first statistical study of graduating student performance, 10 years of student data have been analyzed. Data for more than 1100 graduated students were evaluated in the core mathematics and engineering science courses. There are no gender-based or visa/residency status-based differences in the cGPA (cumulative GPA) at graduation. Further, there is no gender-based difference in the performance in the mathematics and engineering science courses. However, students on study visas outperform their Domestic and Permanent Resident peers regardless of gender, and the difference persists into the upper years even though the concepts involved have been taught in our program. Students' life-long learning attribute has been investigated through analysis of completions of engineering minors and certificates. Nearly 60% of students graduate with at least one minor, and female students are 10% more likely to complete a minor than their male peers. Domestic female students are much more likely to complete minors in bioengineering or environmental engineering, whereas their male peers and study visa students are more likely to complete minors in sustainable energy. The implications for curriculum changes and faculty teaching assignments are discussed.",2022,99,1,252,258
C,"Luelmo, SIR; El Mawas, N; Heutte, J",,"Lane, HC; Zvacek, S; Uhomoibhi, J","Luelmo, Sergio Ivan Ramirez; El Mawas, Nour; Heutte, Jean",,Learner Models for MOOC in a Lifelong Learning Context: A Systematic Literature Review,COMPUTER SUPPORTED EDUCATION (CSEDU 2020),Communications in Computer and Information Science,"While setting up a Massive Open Online Course for Lifelong Learners, the choice of the most adequate Learner Model for this most current context is paramount: not all Learner Models are created equal, despite their overall added value to facilitate the learner's follow-up, course content personalization and trainers/teachers' practices in various Learning Environments. This systematic review of literature defines, compares, and highlights eight features of interest of Learner Models forMassive Open Online Courses from a Lifelong Learning perspective. It discerns 17 of the most-current, existing Learner Models out of 442 search results. It concludes on the four most adequate, and current Learner Models in this context. In addition, we study how they handle the learning experience personalization. This work is primarily dedicated to MOOC designers/providers, pedagogical engineers and researchers who meet difficulties to model and evaluate MOOC's learners using Learning Analytics.",2021,1473,,392,415
J,"Villarejo-Carballido, B; Pulido, CM; Tejedor, S",,,"Villarejo-Carballido, Beatriz; Pulido, Cristina M.; Tejedor, Santiago",,Key Competences for Lifelong Learning through the Animal Crossing: New Horizons Video Game,FUTURE INTERNET,,"The growth and impact of video games in education at an international level is a reality. Research shows that gamers can increase their knowledge, skills, and behavioural flexibility. However, there has been no in-depth research into the relationship between current video games and the key competences for lifelong learning set out by the European Commission. This research focuses on learning acquisition through playing the popular game Animal Crossing: New Horizons. The Communicative Methodology has been used in this research through, on the one hand, use of the Social Impact in Social Media (SISM) method involving the analysis of 1000 comments posted on the social network Twitter and, on the other hand, through communicative inter, sanviews with five gamers and a family member of a user. The results show that the Animal Crossing video game promotes learning achievements regarding literacy, multilingualism, mathematical skills, digital competence, social skills, citizenship, entrepreneurship, and cultural awareness.",2022,14,11,,
C,"Mohamad, AM; Jaafar, MZ; Ishar, NIM; Adnan, A; Aziz, NA; Ramli, MZ; Shabu, SF; Azman, JJ",,,"Mohamad, Ani Munirah; Jaafar, Mohd Zuli; Ishar, Nor Irvoni Mohd; Adnan, Anita; Aziz, Nurhazman Abdul; Ramli, Muhammad Zaki; Shabu, Shahrul Fhaizal; Azman, Justin Johari",,Using Integrated Technologies for Lifelong Learning: Case Study of Doctorate Support Group Webinars,ADVANCED SCIENCE LETTERS,,"The Doctorate Support Group (DSG) Webinars, which began in early 2015, is one of the flagship programs introduced under the DSG initiatives in order to promote the postgraduate resources portal to its 52,000 members on Facebook. The DSG Webinars utilizes numerous technological applications to stream the webinars to its viewers. This paper elaborates on the applications utilized to organize the DSG Webinars and their potential in promoting lifelong learning. Different technological applications were used throughout the entire process, from initiating the webinar registration, to the streaming of the live webinar, the discussion of the lessons, and the hosting of the webinar replay on the DSG resource page. The hosted webinar replays offer a continuous learning experience for DSG members and other visitors. It is intended that this paper could serve as a reference for similar initiatives by other support groups and spur greater interest for further research on the potential of using technological applications for lifelong learning.",2017,23,8,7809,7812
J,"Dadvand, B; Behzadpoor, F",,,"Dadvand, Babak; Behzadpoor, Foad",,"Pedagogical knowledge in English language teaching: A lifelong-learning, complex-system perspective",LONDON REVIEW OF EDUCATION,,"Pedagogical knowledge has been the subject of theoretical and empirical studies. However, no research has so far integrated the existing scholarship with data to develop and validate a framework for pedagogical knowledge in English language teaching informed by lifelong-learning, complex-system perspectives. In the absence of such research, we used a mixed method research design through a systematic review of the literature, semi-structured interviews with experienced teachers (N=10) and teacher educators (N=10), as well as a survey of 336 practising teachers in Iran to: (1) develop a framework for pedagogical knowledge; and (2) validate this framework by designing a self-assessment questionnaire for pedagogical knowledge. Our analyses yielded a nine-component model that included: knowledge of subject matter; knowledge of teaching; knowledge of students; knowledge of classroom management; knowledge of educational context; knowledge of democracy, equity and diversity; knowledge of tests/exams; knowledge of learning; and knowledge of (professional) self. Within this nine-factor framework, each component of pedagogical knowledge consists of a number of subcomponents. The proposed framework highlights the multidimensionality and complexity of pedagogical knowledge, and the mutually constitutive relationships among different knowledge domains.",2020,18,1,107,125
C,"Ramirez-Brenes, I; Morales-Rodriguez, P",,"Chova, LG; Martinez, AL; Torres, IC","Ramirez-Brenes, Isaura; Morales-Rodriguez, Paula",,DIGITAL TOOL WORKSHOPS: MODIFYING THE ELABORATION OF LEARNING MATERIALS METHODOLOGY THROUGH LIFELONG LEARNING EXPERIENCES WITH HIGH EDUCATION TEACHERS AT TEC DIGITAL,"13TH INTERNATIONAL TECHNOLOGY, EDUCATION AND DEVELOPMENT CONFERENCE (INTED2019)",INTED Proceedings,"The Visual Communication team (VC) of the TEC Digital (TD) at the Technological Institute of Costa Rica (TEC) is in charge to produce the learning materials for teachers within the virtualization process program. With the number of learning materials that have to be designed and the time it consumes, the VC team designed a new strategy that empowers teachers towards lifelong learning experiences with digital tools giving them the authority to create quality learning materials needed for the teaching-learning process and become more technology related. Technology is rapidly changing, and higher education teachers must adapt and learn to meet the student's demands. Teachers must find a suitable way for training but usually are given outside the university campus, takes several hours per week, are expensive, and don't have the perspective wanted. TEC Digital plays an essential role in providing the motivation teachers need as part of their professional development to increase their abilities and self-directed learning through informal in-campus training. So far, nine workshops have been taught by the VC team at TD with a duration of three hours each. The center topic of every workshop was created by the most requested materials that teachers ask to design for classes - online or not. Every workshop included an introduction section, a how and when to use it, and the final hands-on-work section were every teacher elaborated a learning material for their own guided by the VC instructor. An inquiry method rewarding the implementation of the workshops was carried out by qualitative interviews and surveys sent via email to teachers attending the workshops as well as an observation process for gathering information about the teacher's reactions and doubts at all times. The results reflected that the opportunity of taking these workshops within the university campus is essential and provides awareness and motivation toward learning technologies to create learning materials and technology learning experiences.",2019,,,5526,5532
C,"Irfan, B; Ramachandran, A; Spaulding, S; Kalkan, S; Parisi, GI; Gunes, H",,,"Irfan, Bahar; Ramachandran, Aditi; Spaulding, Samuel; Kalkan, Sinan; Parisi, German, I; Gunes, Hatice",,Lifelong Learning and Personalization in Long-Term Human-Robot Interaction (LEAP-HRI),HRI '21: COMPANION OF THE 2021 ACM/IEEE INTERNATIONAL CONFERENCE ON HUMAN-ROBOT INTERACTION,ACM IEEE International Conference on Human-Robot Interaction,"While most of the research in Human-Robot Interaction (HRI) focuses on short-term interactions, long-term interactions require bolder developments and a substantial amount of resources, especially if the robots are deployed in the wild. Robots need to incrementally learn new concepts or abilities in a lifelong fashion to adapt their behaviors within new situations and personalize their interactions with users to maintain their interest and engagement. The Lifelong Learning and Personalization in Long-Term HumanRobot Interaction (LEAP-HRI)(1) Workshop aims to take a leap from the traditional HRI approaches towards addressing the developments and challenges in these areas and create a medium for researchers to share their work in progress, present preliminary results, learn from the experience of invited researchers and discuss relevant topics. The workshop extends the topics covered in the Personalization in Long-Term Human-Robot Interaction (PLOTHRI)(2) Workshop [12] at the 2019 14th ACM/IEEE International Conference on Human-Robot Interaction (HRI) and Lifelong Learning for Long-term Human-Robot Interaction (LL4LHRI)(3) Workshop at the 29th IEEE International Symposium on Robot and Human Interactive Communication (RO-MAN), and focuses on studies on lifelong learning and adaptivity to users, context, environment, and tasks in long-term interactions in a variety of fields (e.g., education, rehabilitation, elderly care, collaborative tasks, customer-oriented service and companion robots).",2021,,,724,727
J,"do Amaral, MP; Tikkanen, J",,,"do Amaral, Marcelo Parreira; Tikkanen, Jenni",,Governing the Life Course through Lifelong Learning: A Multilevel and Multidimensional View,SOCIETIES,,"The life course in general, and the educational trajectories of young people in particular, comprise a high degree of complexity as they take place in iterative, recursive and interactive negotiation processes in which numerous actors, institutions and discourses are involved. In this paper, an attempt is made to combine two conceptual discussions-Life Course and Governance-bringing them to bear on the examination of how Lifelong Learning (LLL) policies have been used to govern young people's life courses. The paper synthesizes different discussions of the complex relations among governance, discourses and structures of opportunity that impact the governing of the life course and particularly educational trajectories. It suggests that the combination of life course research and a governance perspective enables analyzing the governance of educational trajectories along discursive, institutional and relational dimensions of opportunity structures. Considering these various dimensions, the paper argues, allows us to attend to the social interactions, decision-making processes and processing mechanisms that precede and/or underlie educational processes and thus favor or complicate them. The contribution also critically discusses the implications of a governance perspective on life courses and closes with a discussion of the multidimensional and multilevel challenge of governing life course by means of LLL policies.",2022,12,3,,
J,"Bekmanova, G; Ongarbayev, Y; Somzhurek, B; Mukatayev, N",,,"Bekmanova, Gulmira; Ongarbayev, Yerkin; Somzhurek, Baubek; Mukatayev, Nurlan",,Personalized training model for organizing blended and lifelong distance learning courses and its effectiveness in Higher Education,JOURNAL OF COMPUTING IN HIGHER EDUCATION,,"The main goal of this research is to improve the personification of learning in higher education. The proposed flexible model for organizing blended and distance learning in higher education involves the creation of an individual learning path through testing students before the start of training. Based on the learning outcomes, the student is credited to the learning path. The training path consists of mandatory and additional modules for training; additional modules can be skipped after successfully passing the test, without studying these modules. The paper examines the composition of intelligent learning systems: student model, learning model and interface model. A student model is described, which contains the level of their knowledge, skills and abilities, the ability to learn, the ability to complete tasks (whether they know how to use the information received or not), personal characteristics (type, orientation) and other factors. The student's model is described by a mathematical formula. Thus, being described using logical rules, which have formed the basis for the software implementation of mixed and distance learning rules for lifelong learning courses. There is an interface model presented in the paper, and the results of the course of the proposed flexible model for the organization of mixed and distance learning Digital Skills of a Modern Teacher in the Context of Distance Learning, as well as the face-to-face course Digital Learning for Everyone before the start of the pandemic which is close in its content to the course under study. Based on the results of the analysis, we introduced criteria for the effectiveness of the training course, proposed the weighting coefficients for evaluating the training course, carried out the assessment and drew conclusions.",2021,33,3,668,683
J,"Tsoi, SLNMTA; de Boer, A; Croiset, G; Koster, AS; van der Burgt, S; Kusurkar, RA",,,"Tsoi, Sharon L. N. M. Tjin A.; de Boer, Anthonius; Croiset, Gerda; Koster, Andries S.; van der Burgt, Stephanie; Kusurkar, Rashmi A.",,How basic psychological needs and motivation affect vitality and lifelong learning adaptability of pharmacists: a structural equation model,ADVANCES IN HEALTH SCIENCES EDUCATION,,"Insufficient professional development may lead to poor performance of healthcare professionals. Therefore, continuing education (CE) and continuing professional development (CPD) are needed to secure safe and good quality healthcare. The aim of the study was to investigate the hypothesized associations and their directions between pharmacists' basic psychological needs in CE, their academic motivation, well-being, learning outcomes. Self-determination theory was used as a theoretical framework for this study. Data were collected through four questionnaires measuring: academic motivation, basic psychological needs (BPN), vitality and lifelong learning adaptability of pharmacists in the CE/CPD learning context. Structural equation modelling was used to analyze the data. Demographic factors like gender and working environment influenced the observed scores for frustration of BPN and factors like training status and working experience influenced the observed scores for academic motivation. A good model fit could be found only for a part of the hypothesized pathway. Frustration of BPN is positively directly related to the less desirable type of academic motivation, controlled motivation (0.88) and negatively directly related to vitality (- 1.61) and negatively indirectly related to learning outcomes in CE. Fulfillment or frustration of BPN are important predictors for well-being and learning outcomes. Further research should be conducted to discover how we can prevent these needs from being frustrated in order to design a motivating, vitalizing and sustainable CE/CPD system for pharmacists and other healthcare professionals. Basic psychological needs are very important predictors for well-being and learning outcomes. Further research should be conducted to discover how we can prevent these needs from being frustrated in order to design a motivating, vitalizing and sustainable CE/CPD system for pharmacists and other healthcare professionals.",2018,23,3,549,566
J,"Gorard, S; Rees, G; Selwyn, N",,,"Gorard, S; Rees, G; Selwyn, N",,The 'Conveyor Belt effect': a re-assessment of the impact of National Targets for Lifelong Learning,OXFORD REVIEW OF EDUCATION,,"Although the National Targets for Education and Training in England and Wales include indicators for lifelong learning, and the progress towards the targets set for these indicators has been lauded by politicians and other observers, much of this apparent progress is actually accounted for by changes in these same indicators at Foundation level. However, once the 'conveyor belt effect'. of passing increasingly qualified 16-18 year-olds into the working-age population instead of less qualified 60 and 65 year-olds, is taken into account, then progress in qualifying those of working-age is much less. In fact, there is then very limited evidence that Lifelong Learning targets have had any impact at all. Certainly, work-based training has not increased, and may even have declined over the last decade, while some socio-economic inequalities in adult participation in education and training have worsened. The paper examines this apparent weakness for the current approach and its implications for the measurement of progress, in the light of a research review carried out for the National Assembly of Wales. It therefore asks increasingly important questions about targets, such as what they, are for, and whether those who set and monitor them are aware of their deficiencies and artificialities.",2002,28,1,75,89
J,"McAvinia, C; Oliver, M",,,"McAvinia, C; Oliver, M",,But my subject's different: a web-based approach to supporting disciplinary lifelong learning skills,COMPUTERS & EDUCATION,,"Many new initiatives in Higher Education institutions choose to develop web sites to support their work, not least because web-based delivery of support materials from a central unit can help to deliver development materials via a single point of access, and 'on demand'. But this presents its own difficulties in terms of the selection and structure of generic material, and in making students aware of its existence. In this paper., the problem of designing a centrally managed web site (both in terms of structure and format) that adequately supports students across the institution will be discussed, and a strategy for developing a site that meets departmental needs will be presented, together with a discussion of the impact of this approach on the role of the developer. This is illustrated within the context of supporting Key Skills. 'Key' or 'transferable' skills are now recognised as being essential for most people in work and in life. Development of these skills is being encouraged at every level in education, and is demanded with increasing frequency by employers and professional bodies. Within Higher Education, the skills debate has prompted an examination of how students manage their own learning, and skills development initiatives encourage learners to seek ways of filling gaps in their knowledge and experience. However, at university level, it is frequently the case that explicit development of key skills must fall to students' spare time or to their extracurricular activities. This is partly explained by departmental traditions and experience, which may not encompass skills development. The UCL Key Skills site model, based on a 'core' website with customised departmental homepages, allows departments to make best use of central resources by 'personalising' the routes into these for their students. It also draws an important distinction in terms of the purpose of the web site, between management of information (for the central site) and pedagogy (for the departmental pages). The model helps to lay the foundations for graduates' lifelong learning by encouraging skills development, within a discipline-specific setting. The benefits of this approach-which included greatly increased levels of engagement and raised awareness amongst staff-are illustrated by a case study from the UCL Geography department, and wider applications of the model as a way of supporting centralised initiatives are discussed. (C) 2002 Elsevier Science Ltd. All rights reserved.",2002,38,1-3,209,220
C,"Saliba, R",,"Chova, LG; Martinez, AL; Torres, IC","Saliba, Reya",,ESTABLISHING A COMPREHENSIVE MATRIX TO DEVELOP INFORMATION FLUENCY SKILLS OF MEDICAL STUDENTS FOR CAREER AND LIFELONG LEARNING,"12TH INTERNATIONAL TECHNOLOGY, EDUCATION AND DEVELOPMENT CONFERENCE (INTED)",INTED Proceedings,"In an effort to revamp the instruction program and incorporate advanced lifelong learning skills, librarians at Weill Cornell Medicine-Qatar (WCM-Q) developed a matrix of Information Fluency (IF) skills that was integrated into the newly adopted medical curriculum. They evaluated the early information literacy instructional program, identified gaps that need to be addressed, and, based on the new Association of College and Research Libraries (ACRL) framework, developed a unique matrix that describes the basic, intermediate and advanced skills medical students should acquire by the time they graduate. These skills ranged from finding and evaluating resources, to creating new knowledge and participating in the scholarly community. The following paper describes the planning and implementation of the IF skills into the premedical and medical curricula, the use of the college's e-learning platform to create and deliver the content, and the challenges faced during the development of this project.",2018,,,2547,2550
J,"Smeriglio, M",,,"Smeriglio, Massimiliano",,PORTA FUTURO LAZIO: A POSSIBLE PUBLIC SERVICE INNOVATION FOR EMPLOYABILITY'S DEVELOPMENT IN A LIFELONG LEARNING VIEW,JOURNAL OF EDUCATIONAL CULTURAL AND PSYCHOLOGICAL STUDIES,,"The country is paying the consequences of a harsh economic and a social crisis that have wholly characterized the last decade. Citizens have been waiting so long for the public service's reform aimed to the employment development and to the matching between job-demand and job-offer. The current common perception shows how the Employment Centers do not seem able to give effective responses to citizen's professional expectations and entreprise's requirements. The article describes the evolution, the methodology and the results of the European best practice Porta Future. A particular emphasis is put on the results of the service's innovation. This consist in taking charge, even emotionally, of citizens in very hard employment situations, offering them continuing education according to a pedagogical approach that invests in empowerment and awareness. The text, which includes a depth research on service's functionality and the possibility to replicate it on a national level, is a contribution to facilitate the research of professional opportunities through the typical Italian society cultural heterogeneity.",2018,,18,459,479
J,"Erol, M; Boyuk, U; Sahingoz, R; Harrison, TG; Costa, MF",,,"Erol, M.; Boyuk, U.; Sahingoz, R.; Harrison, T. G.; Costa, M. F.",,Developing experiment-based science teaching skills: A lifelong learning opportunity for teachers in a rural area of Turkey,ENERGY EDUCATION SCIENCE AND TECHNOLOGY PART B-SOCIAL AND EDUCATIONAL STUDIES,,"Modular Mobile Education: Science Experiments (MOBILIM) is an innovative pilot project for the vocational training of science teachers in rural regions of central Turkey supported by the European Commission in the frames of the Leonardo da Vinci program. In this project, a mobile science laboratory (MSL) was established in order to cope with the great disparities in opportunities between science teaching in urban and rural areas. Teacher training both in what concerns practical competencies and subject knowledge is one of the main reasons for these disparities in the standards of science teaching. Teacher training via MOBILIM is based on hands-on and demonstration practical activities. At the end of the MSL based phase a two-day conference was organized to provide an opportunity for discussion with and among teachers and also to make it possible to exchange ideas and experiences with European partners of the project. Results indicate that in order to improve teachers' practice in the classroom, experimental vocational education via mobile laboratories is advisable and allow good results. The majority of the teachers were delighted with the participation in both the training phase and the subsequent project conference. All of the teachers involved want to become a better and more active teaching force. There is a high expectation to carry on with similar courses in the future.",2012,4,4,2327,2338
J,"Ustun, NA; Zorba, E",,,"Ustun, Neslisah Aktas; Zorba, Erdal",,Analysis of the associations between curiosity and the lifelong learning tendency of university students,APUNTES UNIVERSITARIOS,,"The present study aimed to investigate the associations between curiosity and lifelong learning tendency of serious and casual leisure participant university students. The study was designed as a cross sectional study and 799 students from Gazi University participated in the study. To collect data, the Curiosity II, Life Long Learning Tendency and the Serious and Casual Leisure Participant scales were used. The data were analyzed with SPSS for Windows 23. In data analyze, Independent Samples t Test, and Pearson correlations were used. The mediation effect of being serious or casual leisure participant on the correlation between curiosity and lifelong learning tendency, Process 3.1 for SPSS was used. As results this study showed that curiosity and lifelong learning positively correlated each other. Besides, being a serious leisure participant partially mediated the correlation between the variables.",2021,11,4,354,368
C,"Bechade, C",,,"Bechade, Christophe",,An Innovating Approach to Teaching Applied to Database Design. Improvement of Action Learning in Lifelong Learning,"GLOBAL COOPERATION IN ENGINEERING EDUCATION: INNOVATIVE TECHNOLOGIES, STUDIES AND PROFESSIONAL DEVELOPMENT - THE THIRD INTERNATIONAL CONFERENCE PROCEEDINGS",Global Cooperation in Engineering Education Innovative Technologies Studies and Professional Development,"For now 10 years, the Action Learning has allowed employees of University of Angers, private and public Companies to be initiated with the design of database, on projects financed by professional structures. These innovating training periods are carried out within the framework of the University College of Further Education of the University of Angers. Database design is a process initially reserved to the professional data processing specialists, coming from French Level-2 technological courses (2-year degrees) or Engineer Schools (Master). The pedagogical model of technological courses has integrated for more than 20 years transverse semester projects, in order to give the students the opportunity to apply newly acquired knowledge, coordinated by teachers. Action Learning requires teachers to assume the role of supervisors for the project management. The objective of Action Learning is to transmit not only knowledge from teachers, but also the experience of consultants to trainees having no competence in data processing, but who have the knowledge of their business process. The present paper shows that Action Learning puts together the factors for success of French technological courses, the adaptability of pedagogy provided to the vocational training, and finally the competence of service provider, Keeping the best parts of those three complementary approaches makes it possible for this kind of formation to achieve teaching and professional, assessable and long lasting goals. Action Learning belongs to the French policy that aims to improve the volume and the quality of the contracts between Universities and companies.",2009,,,178,183
J,"Arslan, A",,,"Arslan, Aysel",,The Effect of University Students' Achievement Orientations on Lifelong Learning Tendencies: A Structural Equation Model Study,CUKUROVA UNIVERSITY FACULTY OF EDUCATION JOURNAL,,"In this study; It is aimed to determine the effect level of achievement goal orientations on lifelong learning tendency. In the study, the general survey model and probability-based random sampling method, which are among the quantitative research methods, were preferred. The sample of the study consisted of a total of 1312 students, 726 female and 586 male, who continue their education in different faculties and vocational schools in the city center of Sivas Cumhuriyet University in the spring semester of the 2020-2021 academic year. The data of the study were obtained by applying the 2x2 Achievement Orientation Scale developed by Arslan and Akin (2015), which was adapted to Turkish by Elliot and Murayama (2008), and the Lifelong Learning Disposition Scale developed by Diker-C(*un (2009). Research data were analyzed using normality tests, independent groups t test, ANOVA, Tukey, SEM, and CFA statistical methods. In the findings obtained in the research; It is observed that the mean scores obtained by the students from both scales differ significantly according to the variables of gender, type of school, type of education, economic status, place of residence, the type of high school graduated from, and achievement orientation has an effect on lifelong learning.",2022,51,1,106,147
C,"Ranieri, M; Gabbi, E; Fabbro, F; Pellegrini, M",,"Chova, LG; Martinez, AL; Torres, IC","Ranieri, Maria; Gabbi, Elena; Fabbro, Francesco; Pellegrini, Marta",,DESIGNING BLENDED LEARNING FOR LIFELONG LEARNERS. RESULTS FROM A STUDY ON SOCIAL EDUCATORS,"14TH INTERNATIONAL TECHNOLOGY, EDUCATION AND DEVELOPMENT CONFERENCE (INTED2020)",INTED Proceedings,"The article focuses on the design and the results of a blended learning programme addressed to 240 educators working in the field of socio-educational services. The programme was designed by the University of Florence in 2018-19 through the involvement of scholars from different domains and insiders from the professional field. Following a problem-based approach, relevant problems for educators' professional development were identified and content arranged online around them. At the end of the course, a questionnaire was administered to explore adult learners' perceptions of the educational provision in terms of learning gains suitable for professional development. Results show that participants found all tools provided by the course as relevant for their professional growth, although giving feedback was perceived more meaningful than receiving feedback. In addition, some participants expressed the willingness to have more opportunities for interaction among peers. Overall, the findings suggest that the design choices of the course were appropriate to the target and further improvements can be introduced to enhance participants' collaboration and peer feedback processes.",2020,,,6664,6671
J,"Hallsten, M",,,"Hallsten, Martin",,Late Entry in Swedish Tertiary Education: Can the Opportunity of Lifelong Learning Promote Equality Over the Life Course?,BRITISH JOURNAL OF INDUSTRIAL RELATIONS,,"In this article, I investigate the relation between economic inequality and the decision to take up studies at the tertiary level late in life. Who exactly decides to enrol? Is it advantaged or disadvantaged groups in terms of current earnings rank, occupation, unemployment experience and social origin? Using unique register data of university applications and discrete time hazard regression models, the results show the likelihood of a late entry to be especially high for individuals who are disadvantaged to a moderate extent in terms of current earnings rank and also with some unemployment experience. Class differences in the transition to tertiary education decline with age. This suggests, with a moderate amount of simplification, that lifelong learning tends to promote both intra- and intergenerational equality.",2011,49,3,537,559
J,"Beighton, C",,,"Beighton, Christian",,"Groundhog day? Nietzsche, Deleuze and the eternal return of prosumption in lifelong learning",JOURNAL OF CONSUMER CULTURE,,"This conceptual article examines George Ritzer's concept of prosumption in the context of lifelong learning in the United Kingdom. Ritzer's references to prosumption as a form of eternal return of a 'primal act', which draw on the work of Friedrich Nietzsche and Gilles Deleuze, introduce some ambiguity into the concept. This ambiguity echoes a certain polarization in the debate about co-creation, especially regarding the nature of consumer participation in the creation of value, but it is central to defining the limits of consumer freedom and agency. Critical analysis of UK lifelong learning discourse shows how prosumption can work as a tool of control in this context, producing docile subjectivities, compliant forms of creative co-production and disposable 'nothing' products through repetition and a return of the same. Where prosumption is able to challenge this repetition, however, it involves creativity and the return of difference. These examples show how eternal return, ultimately, underpins prosumption's claim to offer a valid description of emerging practices of prosuming lifelong learners.",2017,17,3,695,712
C,"Dambe, G; Atstaja, D",,,"Dambe, Gundega; Atstaja, Dzintra",,Does Yearly Made Testing of Knowledge at Work Place Enhance Medical Personnel's Self - Directed Learning in Their Lifelong Learning?,"SOCIETY, INTEGRATION, EDUCATION, 2013, VOL II",Sabiedriba Integracija Izglitiba-Society Integration Education,"The purpose of this paper is to clarify - whether yearly made testing of knowledge at a work place enhance NMP medical personnel's self-directed and self-motivated lifelong learning and how it affects the results of work. The results of the research show, that the knowledge testing enhances personnel's self-directed learning, however, it does not affect the results of work significantly. By analyzing the data of the survey on personnel's attitude to the testing of knowledge data, the conclusion has been made that other factors of personnel's motivation for lifelong learning have to be found.",2013,,,550,+
J,"Salajan, FD; Roumell, EA",,,"Salajan, Florin D.; Roumell, Elizabeth A.",,"Tracing the historical construction of a vocational training, adult education and lifelong learning policy space in the European Union from 1951 to present",EUROPEAN EDUCATIONAL RESEARCH JOURNAL,,"The purpose of this study is to trace and document the emerging contours of a Vocational Training, Adult Education and Lifelong Learning (VTAELL) space in the EU via an examination of the policy framework built over time in this area over more than six decades, from the inception of today's European Union to the present day. Nineteen key primary sources were selected from the EU's legislative record forming the growing overarching legal framework on VTAELL from 1951 to present. These were subjected to a discourse and content analysis, utilizing a process tracing approach to systematically record the gradual construction of VTAELL policy. The narrative shows that policy evolution in this field can be grouped into three distinct stages: policy groundwork; programmatic operationalization; consolidation, integration and expansion. Furthermore, the analysis reveals that the convergence and cross-referencing of EU's VTAELL policy across education sectors validates the importance and consolidation of this policy space.",2023,22,3,347,367
J,"Frank, A; Gifford, K",,,"Frank, Annabel; Gifford, Kimberly",,Electronic portfolio use in pediatric residency and perceived efficacy as a tool for teaching lifelong learning,BMC MEDICAL EDUCATION,,"Background: Residency programs use electronic portfolios (efolios) to organize data, track resident performance, and sometimes teach and assess lifelong learning (LLL) skills. Published studies on efolios in graduate medical education are mostly descriptions of implementation at individual institutions. Methods: An anonymous online survey was sent to 199 pediatric residency program directors across the United States. Efolio usage patterns were described and compared between program directors that perceived efolios effective at fostering LLL and those that did not. Results: Surveys were completed by 82 of 199 program directors (41%), and 55% used efolios. The 20% (9 of 45) of program directors that believed efolios were effective at teaching LLL more often used self-assessment (88% vs. 50%, p = 0.05) and goal-setting (75% vs. 40%, p = 0.03) functionalities. Common efolio challenges included limited usability and difficulty integrating data. Most non-users (65%) would like to invest in efolios. Conclusions: Respondents reported technical and convenience-related challenges to efolio use, which need to be addressed for efolios to meet their potential as valuable learning tools. The use of self-assessments and goal-setting features was associated with program directors' perceptions that efolios were effective at fostering LLL.",2017,17,,,
